;Nom de l'etablissement;Note;liens
34;Complexe hotelier le NOUVEAU MONTREUIL;3.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/305261512_447421437406208_8348369438551169641_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=783fdb&_nc_eui2=AeFJzOzmnuSb8Qp0pnnQ8vZKu_528GWDYBW7_nbwZYNgFWbyxLtFLVq4ge-LoQP3XIdM-1z2C44WyxAF-GqhCjdE&_nc_ohc=5HqtXFPiq5YAX-Tzvhv&_nc_ht=scontent.fabj4-2.fna&oh=00_AfC3Dj-Yvja8LpdCxkzxYIJWGzws4Zz9FytYZmqf3kAK9g&oe=6599118C
35;Hotel Du Centre 47 58 57 76;3.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/301002934_374710248190560_8025970040128086705_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=efb6e6&_nc_eui2=AeHY7omUkiu4qz4oFojT6dBdaYO-hK7InMJpg76ErsicwtBFHqnGL5iacfRwOnxmibDxvj2LZEeP5bACzzKrnPea&_nc_ohc=BLw3GyS_7I8AX_lcJ8l&_nc_ht=scontent.fabj4-2.fna&oh=00_AfCfIGjEev5HEk56ZiKaKz67DCA7AUfG_gXZmiG5Lu4JXQ&oe=6597A57D
36;Mövenpick Hotel Abidjan;4.0;https://pbs.twimg.com/media/FCEA-A6WEAMpGiz.jpg:large
37;Seen Hotel Abidjan Plateau;4.0;https://cf.bstatic.com/xdata/images/hotel/max1024x768/96362868.jpg?k=e330bbc57a71a841136c5ddf8e96790b3c988b9614a63110d042a5efb71ae625&o=&hp=1
38;Akwaba Yopougon;3.0;https://cdn-img.readytotrip.com/t/1024x768/content/80/dc/80dc0ca123f099818d7ca73e392de7cef25f6bee.jpeg
39;Timotel;3.4;https://lh5.googleusercontent.com/p/AF1QipNWu0YvVqqisBUJy70cfR38aHsnbu5Uo5N7YQbh=w408-h244-k-no
40;Palauh;4.0;https://lh5.googleusercontent.com/p/AF1QipPZjOYir1W3UnyLGo8994QgwMy_0QtSaLF1hrPG=w408-h306-k-no
41;Complexe Hotelier;3.7;https://voogo.fr/wp-content/uploads/2021/10/14372020_1145786982172830_6902457923963317331_o-1056x792.jpg
42;Hotel Novotel Abidjan;4.2;https://images.trvl-media.com/lodging/1000000/10000/4000/3928/w3000h2247x0y3-9fc84d86.jpg?impolicy=resizecrop&rw=1200&ra=fit
43;Hotel Nadie;4.0;https://aw-d.tripcdn.com/images/0220z120009zurlz4B3FE.jpg
44;Asthoria Palace;3.6;https://images.trvl-media.com/lodging/49000000/48990000/48990000/48989983/28fefd78.jpg?impolicy=resizecrop&rw=500&ra=fit
45;Residence Hotel La Grace;4.0;https://media-cdn.tripadvisor.com/media/photo-s/13/21/4d/b8/vue-du-batiment.jpg
46;Hotel Venusia;4.0;https://hotel-venusia-venosa.hotelmix.it/data/Photos/OriginalPhoto/10152/1015226/1015226866/Hotel-Venusia-Venosa-Exterior.JPEG
47;Hotel du nord;4.0;https://www.yelloci.com/img/ci/z/1689665086-26-hotel-du-nord.jpg
48;Eden City;4.0;https://baab.ci/wp-content/uploads/2020/09/L-EDEN-SKY-BAR_4_BAAB.jpg
49;Treichotel;4.0;https://scontent.fabj4-2.fna.fbcdn.net/v/t39.30808-6/302084131_596540768833449_1181182878336744169_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_eui2=AeE_zX7RTcXTrbfWkXmduwuYe0QIMG4Qjv97RAgwbhCO_1VV8sOC3gIiA_G0WjvgFCJ3xPYCy3i2Gns9mWLrv5lO&_nc_ohc=v0TcyoHWyTkAX8SOAO8&_nc_ht=scontent.fabj4-2.fna&oh=00_AfA65fa2Ox8vOrocs20tSrTC4UrU-whQuANVOFAlfw2xVg&oe=6597F912
